Id,Label,timeset,label3,module,kingdom,phylum,class,order,family,genus,species,name,abun,modularity_class
Zotu1533,Zotu1533,,diff,1,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,possible genus 04,NA,Zotu1533,0.000131,13
Zotu15394,Zotu15394,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu15394,0.000547,25
Zotu140,Zotu140,,other,3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu140,0.001897,25
Zotu15453,Zotu15453,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu15453,0.000281,5
Zotu1550,Zotu1550,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Byssovorax,uncultured bacterium,Zotu1550,0.000153,11
Zotu1035,Zotu1035,,other,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,uncultured,NA,Zotu1035,0.000244,11
Zotu157,Zotu157,,other,4,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineosporia,uncultured bacterium,Zotu157,0.001958,4
Zotu15758,Zotu15758,,other,2,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,4-29,uncultured bacterium,NA,Zotu15758,0.000123,5
Zotu15992,Zotu15992,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu15992,0.000883,5
Zotu16,Zotu16,,other,1,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,possible family 01,uncultured microorganism,NA,Zotu16,0.014403,13
Zotu16045,Zotu16045,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Ferriphaselus,uncultured bacterium,Zotu16045,0.000477,5
Zotu161,Zotu161,,other,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,NA,Zotu161,0.000113,13
Zotu16105,Zotu16105,,other,2,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,4-29,uncultured bacterium,NA,Zotu16105,0.000225,5
Zotu16155,Zotu16155,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,NA,NA,Zotu16155,0.000222,5
Zotu16172,Zotu16172,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,NA,NA,Zotu16172,0.002429,25
Zotu162,Zotu162,,other,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Anaeromyxobacter,uncultured bacterium,Zotu162,0.000256,11
